original_image,original_excerpt,Cary_image,Cary_excerpt
"V01, c01(1)",Nel mezzo del cammin di nostra vita\\mi ritrovai per una selva oscura,"B01, c01(1)","In the midway of this our mortal life,\\I found me in a gloomy wood, astray"
"V01, c01(2)","...ecco, quasi al cominciar de l’erta,\\una lonza leggera e presta molto,\\che di pel macolato era coverta;","B01, c01(2)","...lo! a panther, nimble, light,\\And cover'd with a speckled skin, appear'd,"
"V01, c01(3)","la vista che m’apparve d’un leone.\\Questi parea che contra me venisse\\con la test’alta e con rabbiosa fame,\\s\`{\i} che parea che l’aere ne tremesse.","B01, c01(3)","...in view\\A lion came, 'gainst me, as it appear'd,\\With his head held aloft and hunger-mad,\\That e'en the air was fear-struck."
"V01, c01(4)","«A te convien tenere altro viaggio»,\\rispuose poi che lagrimar mi vide,\\«se vuo’ campar d’esto loco selvaggio:","B01, c01(4)","...\textquotesingle Thou must needs\\Another way pursue, if thou wouldst 'scape\\From out that savage wilderness. …"
"V01, c01(5)","...si mosse, e io li tenni dietro.","B01, c01(5)","Onward he mov'd, I close his steps pursu'd."
"V01, c02(1)","Lo giorno se n’andava, e l’aere bruno\\toglieva li animai che sono in terra\\da le fatiche loro; …","B01, c02(1)","Now was the day departing, and the air,\\Imbrown'd with shadows, from their toils releas'd\\All animals on earth; …"
"V01, c02(2)","Or movi, e con la tua parola ornata\\e con ci\`o c’ha mestieri al suo campare\\l’aiuta…","B01, c02(2)","...Speed now,\\And by thy eloquent persuasive tongue,\\And by all means for his deliverance meet,\\Assist him. …"
"V01, c03(1)","Lasciate ogne speranza, voi ch’intrate».","B01, c03(1)",All hope abandon ye who enter here.\textquotesingle
"V01, c03(2)","...ecco verso noi venir per nave\\un vecchio, bianco per antico pelo,","B01, c03(2)","...lo! toward us in a bark\\Comes on an old man hoary white with eld,"
"V01, c03(3)","Caron dimonio, con occhi di bragia,\\loro accennando, tutte le raccoglie;\\batte col remo qualunque s’adagia.","B01, c03(3)","...Charon, demoniac form,\\With eyes of burning coal, collects them all,\\Beck'ning, and each, that lingers, with his oar\\Strikes."
"V01, c04(1)","...sol di tanto offesi,\\che sanza speme vivemo in disio».","B01, c04(1)","...Only so far afflicted, that we live\\Desiring without hope.\textquotesingle..."
"V01, c04(2)",vidi quattro grand’ombre a noi venire:,"B01, c04(2)","...I beheld\\Four mighty spirits toward us bend their steps,"
"V01, c05(1)","Stavvi Minòs orribilmente, …","B01, c05(1)","...There, Minos stands"
"V01, c05(2)","La bufera infernal, che mai non resta,\\mena li spirti…","B01, c05(2)",...The stormy blast of hell\\With restless fury drives the spirits on
"V01, c05(3)","...«Poeta, volontieri\\parlerei a quei due che ’nsieme vanno,\\e paion s\`{\i} al vento esser leggeri».","B01, c05(3)","...\textquotesingle Bard! Willingly\\I would address those two together coming,\\Which seem so light before the wind.\textquotesingle…"
"V01, c05(4)","Amor, ch’a nullo amato amar perdona,\\mi prese del costui piacer s\`{\i} forte,\\che, come vedi, ancor non m’abbandona.","B01, c05(4)","Love, that denial takes from none belov'd,\\Caught me with pleasing him so passing well,\\That, as thou see'st, he yet deserts me not."
"V01, c05(5)",Galeotto fu ’l libro e chi lo scrisse:\\quel giorno più non vi leggemmo avante».,"B01, c05(5)",...The book and writer both\\Were love's purveyors. In its leaves that day\\We read no more.\textquotesingle…
"V01, c05(6)",...di pietade\\io venni men cos\`{\i} com’io morisse.,"B01, c05(6)","...heartstruck\\I through compassion fainting, seem'd not far\\From death, ..."
"V01, c06(1)","...’l duca mio distese le sue spanne,\\prese la terra, e con piene le pugna\\la gitt\`o dentro a le bramose canne.","B01, c06(1)","...my guide, his palms\\Expanding on the ground, thence filled with earth\\Rais'd them, and cast it in his ravenous maw."
"V01, c06(2)","Elle giacean per terra tutte quante,\\fuor d’una ch’a seder si lev\`o, …","B01, c06(2)","They all along the earth extended lay\\Save one, that sudden rais'd himself to sit,"
"V01, c07(1)","«Pape Satàn, pape Satàn aleppe!»,\\cominci\`o Pluto con la voce chioccia;","B01, c07(1)","\textquotesingle Ah me! O Satan! Satan!\textquotesingle \space loud exclaim'd\\Plutus, in accent hoarse of wild alarm:"
"V01, c07(2)","...d’una parte e d’altra, con grand’urli,\\voltando pesi per forza di poppa.","B01, c07(2)","From one side and the other, with loud voice,\\Both roll'd on weights by main forge of their breasts,"
"V01, c07(3)","...io, che di mirare stava inteso,\\vidi genti fangose in quel pantano,\\ignude tutte, con sembiante offeso.","B01, c07(3)","...Intent I stood\\To gaze, and in the marish sunk descried\\A miry tribe, all naked, and with looks\\Betok'ning rage. …"
"V01, c08(1)","Tosto che ’l duca e io nel legno fui,\\segando se ne va l’antica prora\\de l’acqua più che non suol con altrui.","B01, c08(1)","...Soon as both embark'd,\\Cutting the waves, goes on the ancient prow,\\More deeply than with others it is wont."
"V01, c08(2)","...’l maestro accorto lo sospinse,\\dicendo: «Via costà con li altri cani!».","B01, c08(2)","...my teacher sage\\Aware, thrusting him back: \textquotesingle Away! down there\\To the' other dogs!\textquotesingle..."
"V01, c08(3)",Noi pur giugnemmo dentro a l’alte fosse\\che vallan quella terra sconsolata:,"B01, c08(3)","We came within the fosses deep, that moat\\This region comfortless. …"
"V01, c09(1)","...l’occhio m’avea tutto tratto\\ver’ l’alta torre a la cima rovente,\\dove in un punto furon dritte ratto\\tre furie infernal di sangue tinte,","B01, c09(1)",...I beheld uprisen\\At once three hellish furies stain'd with blood:
"V01, c09(2)","Venne a la porta, e con una verghetta\\l’aperse, che non v’ebbe alcun ritegno.","B01, c09(2)","...To the gate\\He came, and with his wand touch'd it, whereat\\Open without impediment it flew."
